,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,qaanaaq,0.0,GL,1594266287.0,67.0,77.48,-69.36,5.2,1.26
1,yulara,14.0,AU,1594266390.0,25.0,-25.24,130.99,18.0,2.6
2,ushuaia,75.0,AR,1594266280.0,64.0,-54.8,-68.3,4.0,3.6
3,sainte-maxime,0.0,FR,1594266787.0,77.0,43.3,6.63,18.0,1.53
4,sharan,0.0,RU,1594266787.0,75.0,54.82,54.0,24.97,2.14
5,bluff,100.0,NZ,1594266303.0,83.0,-46.6,168.33,9.88,6.6
6,hobart,40.0,AU,1594266268.0,62.0,-42.88,147.33,11.11,0.96
7,busselton,13.0,AU,1594266202.0,63.0,-33.65,115.33,14.44,2.11
8,mar del plata,90.0,AR,1594266280.0,93.0,-38.0,-57.56,6.67,5.12
9,torbay,75.0,CA,1594266298.0,93.0,47.67,-52.73,10.0,6.7
10,ostersund,50.0,SE,1594266788.0,87.0,63.18,14.64,6.0,4.1
11,coihaique,90.0,CL,1594266285.0,100.0,-45.58,-72.07,1.0,2.6
12,jamestown,1.0,US,1594266281.0,73.0,42.1,-79.24,23.0,1.49
13,yellowknife,20.0,CA,1594266300.0,48.0,62.46,-114.35,18.89,2.6
14,punta arenas,10.0,CL,1594266062.0,87.0,-53.15,-70.92,0.0,4.6
15,buchanan,71.0,LR,1594266789.0,89.0,5.88,-10.05,24.05,3.84
16,bredasdorp,100.0,ZA,1594266304.0,44.0,-34.53,20.04,16.0,3.6
17,conakry,100.0,GN,1594266414.0,80.0,9.54,-13.68,26.84,3.8
18,rikitea,13.0,PF,1594266286.0,69.0,-23.12,-134.97,20.09,9.62
19,acapulco,100.0,MX,1594266579.0,75.0,16.86,-99.89,27.58,2.9
20,katsuura,75.0,JP,1594266790.0,83.0,35.13,140.3,27.78,12.9
21,paamiut,100.0,GL,1594266791.0,79.0,61.99,-49.67,7.17,9.06
22,cape town,100.0,ZA,1594266055.0,55.0,-33.93,18.42,17.22,13.4
23,burgas,0.0,BG,1594266533.0,87.0,42.51,27.47,18.33,1.5
24,atuona,13.0,PF,1594266309.0,78.0,-9.8,-139.03,26.23,5.39
25,batagay-alyta,100.0,RU,1594266791.0,72.0,67.8,130.41,13.17,4.48
26,hithadhoo,47.0,MV,1594266303.0,68.0,-0.6,73.08,29.11,1.57
27,imbituba,96.0,BR,1594266792.0,67.0,-28.24,-48.67,16.0,1.5
28,merrill,75.0,US,1594266544.0,83.0,45.18,-89.68,27.0,3.04
29,vaini,75.0,TO,1594266279.0,78.0,-21.2,-175.2,24.0,3.6
30,alakurtti,7.0,RU,1594266792.0,85.0,66.97,30.35,12.22,1.56
31,saldanha,100.0,ZA,1594266303.0,76.0,-33.01,17.94,14.0,8.2
32,myaundzha,53.0,RU,1594266793.0,44.0,63.05,147.19,17.33,2.52
33,mataura,100.0,NZ,1594266286.0,94.0,-46.19,168.86,6.48,2.45
34,carnarvon,34.0,AU,1594266035.0,37.0,-24.87,113.63,21.0,9.8
35,timmins,40.0,CA,1594266793.0,72.0,48.47,-81.33,20.0,2.1
